## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1
/content/mam/offers/partner/milesandmore/miles-and-more/earn/promotion-offer/fallback_milesmoreapp,fallback_milesmoreapp,"web:entities/promooffer,web:maincategories/flights,web:maincategories/hotels,web:maincategories/airlines,web:maincategories/mobility,web:maincategories/entertainment,web:maincategories/shopping,web:maincategories/giftcards,web:maincategories/carrentals,web:maincategories/worldshop,web:maincategories/otherawards,web:maincategories/finance,web:maincategories/travel,web:maincategories/donate-miles,web:maincategories/conversionoffer",<p>Die <b>Miles &amp; More App</b>: Ihr täglicher Programmbegleiter</p>,https://uat3.miles-and-more.com/content/mam/offers/partner/milesandmore/miles-and-more/earn/promotion-offer/fallback_milesmoreapp/de/_jcr_content/keyvisual/staticImageSliderElement/image.img.rendition_16_9.200.medium.1553525226342.jpg,0,https://uat3.miles-and-more.com/de/de/program/at-a-glance/app.html,1,0,a
/content/mam/offers/partner/airlines/lufthansa/spend/promotional-offer/1908_spend_promotion_cashandmiles3000miles,1908_spend_promotion_cashandmiles3000miles,"web:entities/promooffer,web:entities/spend,web:maincategories/flights",<p>Mit Cash &amp; Miles noch flexibler zur Flugbuchung</p>,https://uat3.miles-and-more.com/content/mam/offers/partner/airlines/lufthansa/spend/promotional-offer/1908_spend_promotion_cashandmiles3000miles/de/_jcr_content/keyvisual/staticImageSliderElement/image.img.rendition_16_9.200.medium.1570797873081.jpg,0,https://uat3.miles-and-more.com/de/de/spend/lufthansa/partner/airlines/lufthansa/spend/promotional-offer/1908_spend_promotion_cashandmiles3000miles.html,1,0,c
